name,SubCategory,OS,Country,City,Support Group,Virtual,Shared
ITSUSRAPCTPG5,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCTPG6,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCTPP1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCTPS1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCTPS2,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCTPU1,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPCTPU2,Windows,Win2003 Enterprise,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPDBC1N1,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPDBC1N2,Windows,Win2003 Enterprise x64,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPDE01,Linux,Linux,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAPDE02,Linux,Linux,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAPDE03,Linux,Linux,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAPDM01,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPDMD01,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPDMP01,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPDMS01,Windows,Win2003,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPDOP006,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPDOP007,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPDOP008,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPEA01,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,TRUE,FALSE
ITSUSRAPEA02,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,TRUE,FALSE
ITSUSRAPERC1N1,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPERC1N2,Windows,Win2008 R2,UNITED STATES,RARITAN,WINDOWS L1,FALSE,FALSE
ITSUSRAPESA01,Linux,Linux,UNITED STATES,RARITAN,SECURITY EVENT & LOG MGT,FALSE,FALSE
ITSUSRAPHAPPD1,Windows,Win2008 R2 Standard,UNITED STATES,MORRIS PLAINS,WINDOWS L1,TRUE,FALSE
ITSUSRAPHAPPP1,Windows,Win2008 R2 Standard,UNITED STATES,RARITAN,WINDOWS L1,TRUE,FALSE
ITSUSRAPHSP01,Linux,SUSE Linux Enterprise Server (SLES) 10,UNITED STATES,RARITAN,LINUX L1,FALSE,FALSE
